Liste de la plupart des transistors utilisés :

Reference:	Description:
2SC3855	SI-N 200V 10A 100W 20MHz
2SC3857	SI-N 200V 15A 150W 20MHz
2SC3858	SI-N 200V 17A 200W 20MHz
2SC3866	SI-N 900V 3A 40W
2SC3868	SI-N 500V 1.5A 25W 0.7us
2SC3883	SI-N+D 1500V 6A 50W
2SC3884A	SI-N 1500V 6A 50W
2SC3886A	SI-N 1500V 8A 50W 0.1us
2SC388A	SI-N 25V 50mA 0.3W 300MHz
2SC3890	SI-N 500V 7A 30W 500NS
2SC3892A	SI-N+D 1500V 7A 50W 0.4us
2SC3893A	SI-N+D 1500V 8A 50W
2SC3895	SI-N 1500/800V 8A 70W
2SC3896	SI-N 1500V 8A 70W
2SC3897	SI-N 1500V 10A 70W
2SC3902	SI-N 180V 1.5A 10W 120MHz
2SC3907	SI-N 180V 12A 130W 30MHz
2SC3927	SI-N 900V 10A 120W
2SC394	SI-N 25V 0.1A 200MC RF
2SC3940	SI-N 30V 1A 1W 200MHz
2SC3943	SI-N 110V 0.15A 2W 300MHz
2SC3944	SI-N 150V 1A 40W 300MHz
2SC3948	SI-N 850V 10A 75W 20MHz
2SC3950	SI-N 30V 0.5A 5W
2SC3952	SI-N 80V 0.5A 10W 700MHz
2SC3953	SI-N 120V 0.2A 8W 400MHz
2SC3954	SI-N 120V 0.3A 8W 400MHz
2SC3955	SI-N 200V 0.1A 7W 300MHz
2SC3956	SI-N 200V 0.2A 7W 70MHz
2SC3964	SI-N 40V 2A 1.5W 1us
2SC3972	SI-N 800/500V 5A 40W
2SC3973A	SI-N 900V 7A 45W
2SC3979A	SI-N 800V 3A 2W 10MHz
2SC3987	N-DARL+D 50V 3A 15W
2SC3996	SI-N 1500/800V 15A 180W
2SC3998	SI-N 1500V 25A 250W POWER
2SC3999	SI-N 300V 0.1A 0.75W 300MHz
2SC4004	SI-N 900/800V 1A 30W <1/4
2SC4020	SI-N 900V 3A 50W 1us
2SC4024	SI-N 100V 10A 35W B>300
2SC4029	SI-N 230V 15A 150W 30MHz
2SC4043	SI-N 20V 50mA 0.15W 3.2GHz
2SC4046	SI-N 120V 0.2A 8W 350MHz
2SC4052	SI-N 600V 3A 40W 20MHz
2SC4056	SI-N 600V 8A 45W
2SC4059	SI-N 600/450V 15A 130W
2SC4064	SI-N 50V 12A 35W 40MHz
2SC4107	SI-N 500/400V 10A 60W
2SC4119	N-DARL+D 1500V 15A 250W B
2SC4123	SI-N+D 1500V 7A 60W
2SC4125	SI-N+D 1500/800V 10A 70W
2SC4131	SI-N 100V 15A 60W 18MHz
2SC4135	SI-N 120V 2A 15W 200MHz
2SC4137	SI-N 25V 0.1A 300MHz
2SC4138	SI-N 500V 10A 80W <1/3.5us
2SC4153	SI-N 200V 7A 30W 0.5us
2SC4157	SI-N 600V 10A 100W
2SC4159	SI-N 180V 1.5A 15W 100MHz
2SC4161	SI-N 500V 7A 30W
2SC4169	N-DARL+D 50V 1.2A 1W B=4K
2SC4199	SI-N 1400V 10A 100W
2SC4200	SI-N 20V 0.6A 5W 2.5GHz
2SC4204	SI-N 30V 0.7A 0.6W
2SC4231	SI-N 1200/800V 2A 30W
2SC4235	SI-N 1200/800V 3A 80W
2SC4236	SI-N 1200/800V 6A 100W
2SC4237	SI-N 1200/800V 10A 150W
2SC4242	SI-N 450/400V 7A 40W
2SC4256	SI-N 1500V 10A 175W 6MHz
2SC4278	SI-N 150V 10A 100W 30MHz
2SC4288A	SI-N1600/600V 12A 200W
2SC4289A	SI-N 1500V 16A 200W
2SC4290A	SI-N 1500V 20A 200W
2SC4297	SI-N 500V 12A 75W 10MHz
2SC4298	SI-N 500V 15A 80W 10MHz
2SC4300	SI-N 900V 5A 75W 1/6us
2SC4304	SI-N 800V 3A 35W
2SC4308	SI-N 30V 0.3A 0.6W 2.5GHz
2SC4313	SI-N 900V 10A 100W 0.5us
2SC4381	SI-N 150V 2A 25W 15MHz
2SC4382	SI-N 200V 2A 25W 15MHz
2SC4386	SI-N 160/120V 8A 75W 20MHz
2SC4387	SI-N 200V 10A 80W 20MHz
2SC4388	SI-N 200V 15A 85W 20MHz
2SC4408	SI-N 80V 2A 0.9W 100/600ns
2SC4429	SI-N 1100/800V 8A 60W
2SC4430	SI-N 1100V 12A 65W 15MHz
2SC4431	SI-N 120V 1.5A 20W 150MHz
2SC4439	SI-N 180V 0.3A 8W 400MHz
2SC4467	SI-N 160/120V 8A 80W 20MHz
2SC4468	SI-N 200V 10A 80W 20MHz
2SC4484	SI-N 30V 2.5A 1W 250MHz
2SC4488	SI-N 120V 1A 1W 120MHz
2SC4511	SI-N 120V 6A 30W 20MHz
2SC4512	SI-N 120V 6A 50W 20MHz
2SC4517	SI-N 900V 3A 30W 6MHz
2SC4517A	SI-N 1000V 3A 30W 0.5us
2SC4531	SI-N+D 1500V 10A 50W
2SC4532	SI-N 1700V 10A 200W 2uS
2SC4538	SI-N 900V 5A 80W
2SC454	SI-N 30V 0.1A 230MHz
2SC4542	SI-N 1500V 10A 50W
2SC4547	N-DARL+D 85V 3A 30W B>2K
2SC4557	SI-N 900V 10A 80W <1/5.5us
2SC4560	SI-N 1500V 10A 80W
2SC458	SI-N 30V 0.1A 230MC UNI
2SC4582	SI-N 600V 100A 65W 20MHz
2SC460	SI-N 30V 0.1A 0.2W 230MHz
2SC461	SI-N 30V 0.1A 0.2W 230MHz
2SC4744	SI-N 1500V 6A POWER
2SC4745	SI-N 1500V 6A
2SC4747	SI-N 1500V 10A 50W 0.3us
2SC4758	SI-N 1500V 8A 50W HI-RES
2SC4769	SI-N+D 1500V 7A 60W
2SC4770	SI-N 1500/800V 7A 60W
2SC4793	SI-N 230V 1A 2W 100MHz
2SC4804	SI-N 900V 3A 30W 0.3us
2SC4820	SI-N 450V 6A 30W 12MHz
2SC4826	SI-N 200V 3A 1.3W 300MHz
2SC4834	SI-N 500V 8A 45W <0.3/1.4
2SC4883A	SI-N 180V 2A 20W 120MHz
2SC4891	SI-N 1500V 15A 75W
2SC4908	SI-N 900V 3A 35W 1us
2SC4924	SI-N 800V 10A 70W
2SC4977	SI-N 450V 7A 40W
2SC5002	SI-N 1500V 7A 80W
2SC5003	SI-N+D 1500V 7A 80W
2SC5027	SI-N 1100V 3A 50W 0.3us
2SC5030	SI-N 50V 5A 1.3W 150MHz
2SC5045	SI-N 1600V 15A 75W
2SC5047	SI-N 1600V 25A 250W
2SC5048	SI-N 1500V 12A 50W 0.3us
2SC5070	SI-N 30V 2A 1.5W B>800
2SC5086	SI-N 20V 80MA 7GHZ
2SC509	SI-N 35V 0.5A 0.6W 60MHz
2SC5144	SI-N 1700V 20A 200W
2SC5148	SI-N 1500V 8A 50W 0.2us
2SC5149	SI-N+D 1500V 8A 50W 0.2us
2SC5150	SI-N 1700V 10A 50W 03us
2SC5171	SI-N 180V 2A 20W 200MHz
2SC5198	SI-N 140V 10A 100W 30MHz
2SC5207	SI-N 1500V 10A 50W 0.4us
2SC5242	SI-N 230V 15A 130W 30MHz
2SC5244A	SI-N 1600V 30A 200W
2SC5296	SI-N+D 1500V 8A 60W
2SC5297	SI-N 1500V 8A 60W
2SC5299	SI-N 1500V 10A 70W 0.2US
2SC535	SI-N 20V 20mA 0.1W 0.700M
2SC536	SI-N 40V 0.1A 180MC UNI
2SC620	SI-N 50V 0.2A 0.25W UNI
2SC643	SI-N 1100V 2.5A 50W
2SC644	SI-N 30V 50mA 0.25W
2SC645	SI-N 30V 30mA 0.14W 200MHz
2SC710	SI-N 30V 0.03A 200MHz
2SC711	SI-N 30V 0.05A 150MHz
2SC712	SI-N 30V 0.5A 150MHz
2SC717	SI-N 30V 50mA 0.2W 600MHz
2SC730	SI-N 40V 0.4A PQ=1.5W
2SC732	SI-N 50V 0.15A 0.4W 150MHz
2SC735	SI-N 35V 0.4A 0.3W UNI
2SC752	SI-N 15V 100mA 0.1W
2SC756	SI-N 40V 4A 10W 65MHz
2SC784	SI-N 40V 0.02A 500MC RF
2SC815	SI-N 60V 0.2A 0.25W 200MHz
2SC828	SI-N 30V 0.05A 0.25W UNI
2SC829	SI-N 30V 30mA 0.4W 230MHz
2SC839	SI-N 50V 0.03A 250MHz
2SC867	SI-N 400V 1A 23W 8MHz
2SC869	SI-N 160V 30mA 0.2W 150MHz
2SC898A	SI-N 150V 7A 80W 15MHz
2SC900	SI-N 30V 0.03A 100MHz
2SC930	SI-N 15V 0.03A 300MC RF
2SC936	SI-N 1000V 1A 22W POWER
2SC941	SI-N 35V 20mA 0.2W 120MHz
2SC943	SI-N 60V 0.2A 0.3W 220MHz
2SC945	SI-N 50V 0.1A 250MC UNI
2SC982	N-DARL 40V 0.3A 0.4W
2SD1010	SI-N 50V 50mA 0.3W 200MHz
2SD1012	SI-N 20V 0.7A 0.25W 250MHz
2SD1018	SI-N 250V 4A 80W B>250
2SD1027	N-DARL+D 20V 15A 100W B>1
2SD1033	SI-N 200V 2A 20W 10MHz
2SD1036	SI-N 150/120V 15A 150W
2SD1047	SI-N 160V 12A 100W 15MHz
2SD1048	SI-N 20V 0.7A 0.25W 250MHz
2SD1049	SI-N 120V 25A 100W
2SD1051	SI-N 50V 1.5A 1W 150MHz
2SD1055	SI-N 40V 2A 0.75W 100MHz
2SD1062	SI-N 60V 12A 40W 10MHz
2SD1064	SI-N 60V 12A 80W
2SD1065	SI-N 60V 15A 90W
2SD1073	N-DARL 300V 4A 40W B>1K
2SD1088	N-DARL 300V 6A 30W B>2000
2SD1113K	N-DARL+D 300V 6A 40W
2SD1128	N-DARL 150V 5A 30W
2SD1135	SI-N 80V 4A 40W
2SD1138	SI-N 200V 2A 30W
2SD1140	N-DARL 30V 1.5A 0.9W
2SD1145	SI-N 60V 5A 0.9W 120MHz
2SD1148	SI-N 140V 10A 100W 20MHz
2SD1153	SI-N 80V 1.5A 0.9W
2SD1163A	SI-N 300V 7A 40W
2SD1164	SI-N 150V 1.5A 10W DAR+DI
2SD1173	SI-N+D 1500V 5A 70W
2SD1187	SI-N 100V 10A 80W 10MHz
2SD1189	SI-N 40V 2A 5W 100MHz
2SD1192	N-DARL+D 70V 10A 40W B=5K
2SD1196	N-DARL+D 110V 8A 40W B=40
2SD1198	N-DARL 30V 1A 1W 150MHz
2SD1207	SI-N 60V 2A 1W
2SD1210	N-DARL+D 150V 10A 80W B=5
2SD1213	SI-N 60V 20A 50W
2SD1225	SI-N 40V 1A 1W 150MHz
2SD1238	SI-N 120V 12A 80W 20MHz
2SD1244	SI-N+D 2500/900V 1A 50W
2SD1246	SI-N 30V 2A 0.75W
2SD1247	SI-N 30V 2.5A 1W
2SD1254	SI-N 130V 3A 30W
2SD1255	SI-N 130V 4A 35W 30MHz
2SD1263A	SI-N 400V 0.75A 35W 30MHz
2SD1264	SI-N 200V 2A 30W POWER
2SD1265	SI-N 60V 4A 30W 25kHz
2SD1266	SI-N 60V 3A 35W POWER
2SD1267	SI-N 60V 4A 40W 20MHz ^M
2SD1270	SI-N 130V 5A 2W 30MHz
2SD1271	SI-N 130V 7A 40W 30MHz
2SD1272	SI-N 200V 1A 40W 25MHz
2SD1273	SI-N 80V 3A 40W 50MHz ^M
2SD1274	SI-N 150V 5A 40W 40MHz
2SD1276	N-DARL 60V 4A 40W
2SD1286	N-DARL+D 60V 1A 8W B=1K-3
2SD1288	SI-N 120V 7A 70W
2SD1289	SI-N 120V 8A 80W
2SD1292	SI-N 120V 1A 0.9W 100MHz
2SD1293	SI-N 120V 1A 1W 100MHz
2SD1297	N-DARL+D 150V 25A 100W
2SD1302	SI-N 25V 0.5A 0.6W 200MHz
2SD1306	SI-N 30V 0.7A 150mW 250MHz
2SD1308	N-DARL+D 150V 8A 40W
2SD1313	SI-N 800V 25A 200W 6MHz
2SD1314	N-DARL+D 600V 15A 150W
2SD1330	SI-N 25V 0.5A 0.6W 200MHz
2SD1347	SI-N 60V 3A 1W 150MHz
2SD1348	SI-N 60V 4A 10W 150MHz
2SD1350A	SI-N 600V 0.5A 1W 55MHz
2SD1376K	N-DARL+D 120V 1.5A 40W
2SD1378	SI-N 80V 0.7A 10W 120MHz
2SD1379	N-DARL 40V 2A 10W 150MHz
2SD1380	SI-N 40V 2A 10W 100MHz
2SD1382	SI-N 120V 1A 10W 100MHz
2SD1384	SI-N 40V 2A 0.75W 100MHz
2SD1391	SI-N 1500V 5A 80W
2SD1392	N-DARL+D 60V 5A 30W B=800
2SD1397	SI-N+D 1500V 3.5A 50W
2SD1398	SI-N+D 1500V 5A 50W
2SD1399	SI-N+D 1500V 6A 80W
2SD1403	SI-N 1500V 6A 120W
2SD1404	SI-N+D 300V 7A 25W 1us
2SD1405	SI-N 50V 3A 25W 2us
2SD1406	SI-N 60V 3A 25W 0.8us
2SD1407	SI-N 100V 5A 30W 12MHz
2SD1408	SI-N 80V 4A 30W 8MHz
2SD1409	N-DARL+D 600V 6A 25W 1us
2SD1411	SI-N 100V 7A 30W 10MHz
2SD1413	N-DARL+D 60V 3A 20W .O1US
2SD1415	N-DARL+D 100V 7A 30W 0.8us
2SD1426	SI-N+D 1500V 3.5A
2SD1427	SI-N+D 1500V 5A 80W
2SD1428	SI-N+D 1500V 6A 80W
2SD1432	SI-N 1500V 6A 80W
2SD1439	SI-N+D 1500V 3A 50W
2SD1441	SI-N+D 1500V 4A 80W
2SD1446	N-DARL+D 500V 6A 40W B>50
2SD1453	SI-N 1500V 3A 50W
2SD1457	N-DARL+D 140V 6A 60W
2SD1458	SI-N 20V 0.7A 1W
2SD1468	SI-N 30V 1A 0.3..0.4W 150
2SD1491	N-DARL+D 70V 2A 10W B>2K
2SD1504	SI-N 30V 0.5A 0.3W 300MHz
2SD1506	SI-N 60V 3A 10W 90MHz
2SD1508	N-DARL 30V 1.5A 10W B>400
2SD1509	N-DARL+D 80V 2A 10W 0.4uS
2SD1511	N-DARL 100V 1A 1W 150MHz
2SD1521	N-DARL+D 50V 1.5A 2W B>2K
2SD1525	N-DARL+D 100V 30A 150W
2SD1526	SI-N 130V 1A 1W 200MHz
2SD1541	SI-N 1500V 3A 50W
2SD155	SI-N 80V 3A 25W
2SD1554	SI-N+D 1500V 3.5A 40W 1us
2SD1555	SI-N+D 1500V 5A 40W 1us
2SD1556	SI-N+D 1500V 6A 50W 1us
2SD1563A	SI-N 160V 1.5A 10W 80MHz
2SD1565	N-DARL+D 100V 5A 30W
2SD1576	SI-N 1500V 2.5A 48W
2SD1577	SI-N 1500V 5A 80W
2SD1579	N-DARL+D 150V 1.5A 1W
2SD1589	N-DARL+D 100V 5A 20W
2SD1590	N-DARL+D 150V 8A 25W
2SD1595	N-DARL+D 60V 5A 20W B=6K
2SD1609	SI-N 160V 0.1A NF/S-L
2SD1610	SI-N 200V 0.1A 1.3W 140MHz
2SD1624	SI-N 60V 3A .5W 150MHz
2SD1632	N-DARL+D 1500V 4A 80W
2SD1647	N-DARL+D 50V 2A 25W
2SD1649	SI-N+D 1500/800V 2,5A 50W
2SD1650	SI-N+D 1500/800V 3.5A 50W
2SD1651	SI-N+D 1500/800V 5A 60W
2SD1652	SI-N+D 1500V 6A 60W 3MHz
2SD1656	SI-N 1500V 6A 50W 3MHz
2SD1663	SI-N 1500V 5A 80W 0.5us
2SD1664	SI-N 40V 1A 0.5W 150MHz
2SD1666	SI-N 60V 3A 20W
2SD1667	SI-N 60V 5A 25W 30MHz
2SD1668R	SI-N 60V 7A 30W
2SD1669	SI-N 60V 12A 30W
2SD1677	SI-N 1500V 5A 100W 0.5us
2SD1680	SI-N 330/200V 7A 70W
2SD1681	SI-N 20V 1.2A 10W 150MHz
2SD1683	SI-N 60V 4A 10W 150MHz
2SD1684	SI-N 120V 1.2A 10W 150MHz
2SD1706	SI-N 130/80V 15A 80W 20MHz
2SD1707	SI-N 130/80V 20A 100W
2SD1710	SI-N 1500/800V 5A 100W
2SD1725	SI-N 120V 4A 20W 180MHz
2SD1729	SI-N+D 1500/700V 3.5A 60W
2SD1730	SI-N+D 1500/700V 5A 100W
2SD1739	SI-N 1500/700V 6A 100W
2SD1740	N-DARL 150V 5A 25W B=5000
2SD1758	SI-N 40V 2A 10W 100MHz
2SD1760	SI-N 60V 3A 15W 90MHz
2SD1761	SI-N 80V 3A 35W
2SD1762	SI-N 60V 3A 25W 70MHz
2SD1763A	SI-N 120V 1.5A 20W 80MHz
2SD1764	N-DARL+D 60V 2A 20W B>100
2SD1765	N-DARL+D 100V 2A 20W B>1K
2SD1769	N-DARL+D 120V 6A 50W
2SD1776	SI-N 80V 2A 25W 40MHz
2SD1783	N-DARL+D 60V 5A 30W B=2K
2SD1785	N-DARL+D 120V 6A 30W 100MHz
2SD1790	N-DARL+D 200V 4A 25W B=1K
2SD1791	N-DARL 100V 7A 30W 50MHz
2SD1796	N-DARL+D 60V 4A 25W
2SD1802	SI-N 60V 3A 15W 150MHz
2SD1806	SI-N+D 40V 2A 15W 150MHz
2SD1809	N-DARL 60V 1A 0.9W B>2K
2SD1812	SI-N 160V 1.5A 0.9W
2SD1815	SI-N 120V 3A 20W 180MHz
2SD1817	SI-D 80V 3A 15W B>2K
2SD1825	N-DARL+D 70V 4A 20W
2SD1827	N-DARL+D 70V 10A 30W 20MHz
2SD1830	N-DARL+D 110V 8A 30W B=4K
2SD1835	SI-N 60V 2A 150MHz 60/580
2SD1843	N-DARL+D 60V 1A 1W B>2000
2SD1847	SI-N+D 1500/700V 5A 100W
2SD1849	SI-N+D 1500/700V 7A 120W
2SD1853	N-DARL+D 80V 1.5A 0.7W B>
2SD1856	N-DARL+D 60V 5A 25W
2SD1857	SI-N 120V 1.5A 1W 80MHz
2SD1858	SI-N 40V 1A 1W 150MHz
2SD1859	SI-N 80V 0.7A 1W 120MHz
2SD1862	SI-N 40V 2A 1W 100MHz
2SD1863	SI-N 120V 1A 1W 100MHz
2SD1864	SI-N 60V 3A 1W 90MHz
2SD1877	SI-N+D 1500/800V 4A 50W
2SD1878	SI-N+D 1500V 5A 60W 0.3us
2SD1880	SI-N+D 1500V 8A 70W
2SD1881	SI-N+D 1500V 10A 70W
2SD1887	SI-N 1500/800V 10A 70W
2SD1894	SI-N 160V 7A 70W 20MHz
2SD1895	N-DARL 160V 8A 100W 20MHz
2SD1913	SI-N 60V 3A 20W 100MHz
2SD1929	N-DARL+D 60V 2A 1.2W
2SD1930	N-DARL 100V 2A 1.2W B=500
2SD1933	N-DARL+D 80V 4A 30W
2SD1944	SI-N 80V 3A 30W 50MHz
2SD1958	SI-N 200V 4.5A 30W 10MHz
2SD1959	SI-N 1400V 10A 50W
2SD1978	N-DARL+D 120V 1.5A 0.9W
2SD198	SI-N 300V 1A 25W 45MHz
2SD1991	SI-N 60V 0.1A 0.4W 150MHz
2SD1992	SI-N 30V 0.5A 0.6W 200MHz
2SD1994	SI-N 60V 1A 1W 200MHz
2SD1996	SI-N 25V 0.5A 0.6W 200MHz
2SD200	SI-N 1500V 2.5A 10W
2SD2006	SI-N 80V 0.7A 1.2W 120MHz
2SD2007	SI-N 40V 2A 1.2W 100MHz
2SD2010	N-DARL 60V 2A 1.2W B>1000
2SD2012	SI-N 60V 3A 25W 3MHz
2SD2018	N-DARL+D 60V 1A 5W B>6K5
2SD2052	SI-N 150V 9A 100W 20MHz
2SD2061	SI-N 80V 3A 30W 8MHz
2SD2066	SI-N 160V 12A 120W
2SD2088	N-DARL+D 60V 2A 0.9W B>2K
2SD2125	SI-N+D 1500V 5A 50W 0.2us
2SD213	SI-N 110V 10A 100W
2SD2136	SI-N 60V 3A 1.5W 30MHz
2SD2137A	SI-N 80V 3A 15W 30MHz
2SD2141	N-DARL+D 380V 6A 35W B>15
2SD2144	SI-N 25V 0.5A B>560
2SD2151	SI-N 130/80V 10A 30W 20MHz
2SD2159	SI-N 30V 2A 1W 110MHz
2SD2250	N-DARL 160V 7A 90W B>5K
2SD2253	SI-N+D 1700V 6A 50W
2SD2255	N-DARL 160V 7A 70W 20MHz
2SD2276	N-DARL 160V 8A 120W B>5K
2SD2331	N-DARL+D 1500V 3A
2SD234	SI-N 60V 3A 25W AF-POWER
2SD2340	SI-N 130V 6A 50W
2SD2375	SI-N 80V 3A 25W B>500
2SD2386	N-DARL 140V 7A 70W B>5K
2SD2389	N-DARL 160V 10A 100W B>5K
2SD2390	N-DARL 160V 10A 100W 55MHz
2SD2394	SI-N 60V 3A 30W
2SD2395	SI-N 50V 3A 25W
2SD2399	N-DARL+D 80V 4A 30W B=1K-
2SD2438	N-DARL+D 160V 8A 70W B>5K
2SD2493	N-DARL 110V 6A 60W 60MHz
2SD2498	SI-N 1500V 6A 50W
2SD2499	SI-N+D 1500V 6A 50W
2SD287	SI-N 200V 10A 100W 8MHz
2SD313	SI-N 60V 3A 30W 8MHz
2SD325	SI-N 35V 1.5A 10W 8MHz
2SD350	SI-N 1500V 5A 22W
2SD350A	SI-N 1500V 5A 22W
2SD359	SI-N 40V 2A 10W LOWFREQPO
2SD361	SI-N 60V 1.5A 10W 70MHz
2SD381	SI-N 130V 1.5A 20W 60MHz
2SD382	SI-N 130V 1.5A 20W 60MHz
2SD386	SI-N 200V 3A 25W 8MHz
2SD400	SI-N 25V 1A 0.9W
2SD401	SI-N 200V 2A 20W 10MHz
2SD414	SI-N 120/80V 0.8A 10W
2SD415	SI-N 120/100V 0.8A 10W
2SD424	SI-N 160V 15A 150W POWER
2SD438	SI-N 100V 0.7A 0.9W 100MHz
2SD467	SI-N 25V 0.7A 0.5W 280MHz
2SD468	SI-N 25V 1A 0,9W 280MHz
2SD471	SI-N 30V 1A 0.8W UNI (EBC
2SD476	SI-N 70V 4A 40W 7MHz
2SD478	SI-N 200V 2A 30W
2SD545	SI-N 25V 1.5A 0.5W
2SD549	N-DARL 30V 1.5A 15W B>4K
2SD552	SI-N 220V 15A 150W 4MHz
2SD553	SI-N 70V 7A 40W 10MHz
2SD555	SI-N 400V 15A 200W 7MHz
2SD556	SI-N 120V 15A 120W 8MHz
2SD560	N-DARL 100V 5A 30W
2SD571	SI-N 60V 700mA 1W 110MHz
2SD592	SI-N 30V 1A 0.75W 200MHz
2SD596	SI-N 30V 0.7A 170MHz
2SD600K	SI-N 120V 1A 8W
2SD602A	SI-N 60V 0.5A 0.2W 200MHz
2SD612	SI-N 25V 2A 10W 100MHz
2SD613	SI-N 100V 6A 40W 15MHz
2SD617	N-DARL 120V 8A 100W
2SD637	SI-N 60V 0.1A 0.4W 150MHz
2SD661	SI-N 35V 0.1A 0.4W 200MHz
2SD662	SI-N 250V 0.1A 0.6W 50MHz
2SD666	SI-N 120V 0.05A 140MHz
2SD667	SI-N 120V 1A 140MHz
2SD669A	SI-N 160V 1.5A 1W 140MHz
2SD676	SI-N 160V 12A 125W 8MHz
2SD712	SI-N 100V 4A 30W 8MHz
2SD717	SI-N 70V 10A 80W 0.3us
2SD718	SI-N 120V 8A 80W 12MHz
2SD725	SI-N 1500V 6A 50W POWER
2SD726	SI-N 100V 4A 40W 10MHz
2SD731	SI-N 170V 7A 80W 7MHz
2SD732	SI-N 150V 8A 80W 15MHz
2SD734	SI-N 25V 0.7A 0.6W 250MHz
2SD762	SI-N 60V 3A 25W 25kHz
2SD763	SI-N 120V 1A 0.9W
2SD768	N-DARL+D 120V 6A 40W B>1K
2SD773	SI-N 20V 2A 1W 110MHz
2SD774	SI-N 100V 1A 1W 95MHz
2SD781	SI-N 150V 2A 1W 0.6us
2SD786	SI-N 40V 0.3A 0.25W
2SD787	SI-N 20V 2A 0.9W 80MHz
2SD788	SI-N 20/20V 2A 0.9W 100MHz
2SD789	SI-N 100/50V 1A 0.9W 80MHz
2SD794	SI-N 70V 3A 10W 60MHz
2SD795	SI-N 40V 3A 20W 95MHz
2SD798	N-DARL 600V 6A 30W B>1K5
2SD799	N-DARL+D 400V 6A 30W
2SD800	SI-N 750V 4A 30W 8MHz
2SD809	SI-N 100V 1A 10W 85MHz
2SD819	SI-N 1500V 3.5A 50W
2SD820	SI-N 1500V 5A 50W
2SD822	SI-N 1500/600V 7A 50W
2SD826	SI-N 60V 5A 10W 120MHz
2SD829	N-DARL+D 150V 15A 100W B=
2SD837	N-DARL 60V 4A 40W
2SD844	SI-N 50V 7A 60W 15MHz
2SD850	SI-N 1500V 3A 25W
2SD856	SI-N 60V 3A 35W POWER
2SD863	SI-N 50V 1A 0.9W
2SD864K	N-DARL+D 120V 3A 30W
2SD867	SI-N 130V 10A 100W 3MHz
2SD871	SI-N+D 1500V 5A 50W
2SD879	SI-N 30V 3A 0.75W 200MHz
2SD880	SI-N 60V 3A 30W 0.8us
2SD882	SI-N 30V 3A 10W
2SD889	SI-N+D 1500V 4A 50W
2SD892A	N-DARL 60V 0.5A 0.4W B>2K
2SD894	N-DARL 30V 1.5A 10W 120MHz
2SD895	SI-N 100V 6A 60W 10MHz
2SD917	SI-N 330V 7A 70W POWER
2SD92	SI-N 100V 3A 20W
2SD921	N-DARL 200V 5A 80W B>700
2SD946	N-DARL 30V 1A
2SD947	N-DARL 40V 2A 5W 150MHz
2SD951	SI-N 1500V 3A 65W
2SD958	SI-N 120V 0.02A 0.4W 200MHz
2SD965	SI-N 40V 5A 0.75W 150MHz
2SD966	SI-N 40V 5A 1W 150MHz
2SD968A	SI-N 120V 0.5A 1W 120MHz
2SD970	N-DARL+D 120V 8A 40W B>1K
2SD972	N-DARL 50V 4A 30W B=3K
2SD982	N-DARL 200V 5A 40W B=3000
2SD986	N-DARL 150/80V 1.5A 10W
2SD998	N-DARL 100V 1.5A 10W B=7K
2SJ103	P-FET 50V 2.6mA Up<2V
2SJ109	P-FET DUAL 30V Id>2.6mA
2SJ113	P-FET 100V 10A 100W OE35
2SJ117	P-FET 400V 2A 40W 35ns
2SJ162	P-FET 160V 7A 100W 1E
2SJ174	P-FET 60V 20A 75W 235ns
2SJ175	P-FET 60V 10A 25W OE25
2SJ177	P-FET 60V 20A 75W <0E085
2SJ182	P-FET 60V 3A 20W OE28
2SJ200	P-FET 180V 10A 120W
2SJ201	P-FET 200V 12A 150W
2SJ306	P-FET 250V 3A 25W <2E =3
2SJ307	P-FET 250V 6A 2W <1E
2SJ353	P-FET 60V 1.5A 1W
2SJ449	P-FET 250V 6A 35W
2SJ72	P-FET 25V 30MA 0.6W Up<2V
2SJ74	P-FET 25V 1mA Up<2V
2SJ77	P-FET 160V 0.5A 30W
2SJ79	P-FET 200V 0.5A 30W
2SK1010	N-FET 500V 6A 80W <1E5
2SK1036	N-FET 250V 1A 2W 80ns
2SK1057	N-FET 140V 7A 100W
2SK1058	N-FET 160V 7A 100W 1E
2SK107	N-FET 9V 20MA 250MW
2SK108	N-FET 50V 20mA 0.3W 70E
2SK1081	N-FET 800V 7A 125W 380ns
2SK1082	N-FET 900V 6A 125W 2.8E
2SK1101	N-FET 450V 10A 50W E65 =1
2SK1102	N-FET 500V 10A 50W 240ns
2SK1113	N-FET 120V 3A 20W
2SK1117	N-FET 600V 6A 100W 1.25R
2SK1118	N-FET 600V 6A 45W 1.25R
2SK1119	N-FET 100V 4A 100W
2SK1120	N-FET 1000V 8A 150W 1E8
2SK117	N-FET 50V 5mA
2SK1170	N-FET 500V 20A 120W
2SK118	N-FET 50V 0.3mA 0.1W
2SK1181	N-FET 500V 13A 85W 0.4E
2SK1190	N-FET 60V 22A 35W 0E05
2SK1191	N-FET 60V 30A 40W 0.03E
2SK1198	N-FET 700V 2A 35W 3.2E
2SK1213	N-FET 600V 6A 125W 40/85ns
2SK1217	N-FET 900V 8A 100W
2SK1221	N-FET 250V 10A 80W 0E4
2SK125	N-FET 25V 0.1A 0.3W
2SK1257	N-FET 60V 40A 45W 0.05E
2SK1271	N-FET 1400V 5A 240W <4E
2SK1275	N-FET 900V 2A 30W 7E
2SK1296	N-FET 60V 30A 0.024E
2SK1299	N-FET 100V 3A 20W 0E45
